title,year,genre,description
The Matrix,1999,Sci-Fi,A computer programmer discovers that reality as he knows it is actually a simulated world controlled by machines. He joins a rebellion to free humanity from this digital prison.
Inception,2010,Sci-Fi,A skilled thief who enters people's dreams to steal secrets is given a chance to have his criminal record erased in exchange for planting an idea in someone's mind.
Interstellar,2014,Sci-Fi,A team of explorers travels through a wormhole in space in an attempt to ensure humanity's survival as Earth faces environmental collapse.
The Shawshank Redemption,1994,Drama,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
Pulp Fiction,1994,Crime,The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.
The Dark Knight,2008,Action,Batman faces the Joker a criminal mastermind who wants to plunge Gotham City into anarchy and chaos.
Forrest Gump,1994,Drama,The story of a man with low IQ who accomplishes great things in his life and influences many historical events.
The Godfather,1972,Crime,The aging patriarch of an organized crime dynasty transfers control of his empire to his reluctant son.
Schindler's List,1993,Drama,A German businessman saves the lives of more than a thousand Polish Jews during the Holocaust by employing them in his factories.
Goodfellas,1990,Crime,The story follows Henry Hill and his life in the mob covering his relationship with his wife and his mob partners.
Avengers: Endgame,2019,Action,After the devastating events of Infinity War the Avengers assemble once more to reverse Thanos' actions and restore balance to the universe.
Titanic,1997,Romance,A love story between a young aristocrat and a poor artist aboard the ill-fated RMS Titanic.
Jurassic Park,1993,Adventure,Scientists clone dinosaurs to populate a theme park but the creatures escape and terrorize the visitors.
Star Wars,1977,Sci-Fi,A young farm boy joins a rebellion against an evil galactic empire and learns to use a mystical power called the Force.
Casablanca,1942,Romance,A cynical American expatriate struggles to decide whether to help his former lover and her fugitive husband escape French Morocco.
The Lord of the Rings,2001,Fantasy,A hobbit and his companions set out on a quest to destroy a powerful ring and defeat the dark lord Sauron.
Gladiator,2000,Action,A former Roman general seeks revenge against the corrupt emperor who murdered his family and sent him into slavery.
The Lion King,1994,Animation,A young lion prince flees his kingdom after his father's death but returns to reclaim his rightful place as king.
Alien,1979,Horror,The crew of a commercial space ship encounters a deadly alien creature that hunts them one by one.
Blade Runner,2019,Sci-Fi,A blade runner must pursue and terminate replicants who have escaped to Earth in a dystopian future Los Angeles.
